oui,vendor,registry
00237D,Microsoft Corp,MA-L
0024A5,Microsoft Corp,MA-L
0050F2,Microsoft Corp,MA-L
081196,Microsoft Corp,MA-L
28185A,Microsoft Corp,MA-L
2816A8,Microsoft Corp,MA-L
28E347,Microsoft Corp,MA-L
48DF37,Microsoft Corp,MA-L
485A3F,Microsoft Corp,MA-L
58820A,Microsoft Corp,MA-L
7C1E52,Microsoft Corp,MA-L
7C5EF4,Microsoft Corp,MA-L
7CEDA8,Microsoft Corp,MA-L
9C7BEF,Microsoft Corp,MA-L
A0142D,Microsoft Corp,MA-L
A48D8B,Microsoft Corp,MA-L
C03FD5,Microsoft Corp,MA-L
CC21AB,Microsoft Corp,MA-L
D8C0A6,Microsoft Corp,MA-L
E48D8C,Microsoft Corp,MA-L
E4E749,Microsoft Corp,MA-L
F01DBC,Microsoft Corp,MA-L
F8DBAA,Microsoft Corp,MA-L
FC9BC0,Microsoft Corp,MA-L
001560,HP Inc,MA-L
001636,HP Inc,MA-L
0018FE,HP Inc,MA-L
001A4B,HP Inc,MA-L
001B78,HP Inc,MA-L
001CC4,HP Inc,MA-L
001E0B,HP Inc,MA-L
001F29,HP Inc,MA-L
0021F7,HP Inc,MA-L
002264,HP Inc,MA-L
002320,HP Inc,MA-L
002481,HP Inc,MA-L
0025B3,HP Inc,MA-L
0026B9,HP Inc,MA-L
002786,HP Inc,MA-L
086BBD,HP Inc,MA-L
0C8FD8,HP Inc,MA-L
101F74,HP Inc,MA-L
1458D0,HP Inc,MA-L
18A905,HP Inc,MA-L
1C2A59,HP Inc,MA-L
1CC1DE,HP Inc,MA-L
20412A,HP Inc,MA-L
24BE05,HP Inc,MA-L
2C768A,HP Inc,MA-L
3010E4,HP Inc,MA-L
3048B6,HP Inc,MA-L
308D99,HP Inc,MA-L
38EAA7,HP Inc,MA-L
3C4A92,HP Inc,MA-L
3CD92B,HP Inc,MA-L
405269,HP Inc,MA-L
441EA1,HP Inc,MA-L
48BA4E,HP Inc,MA-L
5065F3,HP Inc,MA-L
5CB901,HP Inc,MA-L
68B599,HP Inc,MA-L
6C3BE5,HP Inc,MA-L
6CC217,HP Inc,MA-L
703AEF,HP Inc,MA-L
745A2B,HP Inc,MA-L
7845C4,HP Inc,MA-L
80CE62,HP Inc,MA-L
88513D,HP Inc,MA-L
8C85E6,HP Inc,MA-L
94EB2C,HP Inc,MA-L
98E7F4,HP Inc,MA-L
9C8E99,HP Inc,MA-L
9CB654,HP Inc,MA-L
A0481C,HP Inc,MA-L
A45D36,HP Inc,MA-L
A4B197,HP Inc,MA-L
A8A795,HP Inc,MA-L
ACE2D3,HP Inc,MA-L
B05ADA,HP Inc,MA-L
B4993C,HP Inc,MA-L
B8AF67,HP Inc,MA-L
BCEA5D,HP Inc,MA-L
C4346B,HP Inc,MA-L
C4A34E,HP Inc,MA-L
C8D9D2,HP Inc,MA-L
CC3E5F,HP Inc,MA-L
D0BF9C,HP Inc,MA-L
D4C9EF,HP Inc,MA-L
D89D67,HP Inc,MA-L
DC4A3E,HP Inc,MA-L
E4115B,HP Inc,MA-L
E4E0A6,HP Inc,MA-L
E83935,HP Inc,MA-L
E8393A,HP Inc,MA-L
EC9A74,HP Inc,MA-L
F0921C,HP Inc,MA-L
FC3FDB,HP Inc,MA-L
002551,Canon Inc,MA-L
68F9E8,Canon Inc,MA-L
18DEAD,Canon Inc,MA-L
D8496B,Canon Inc,MA-L
001BA9,Canon Inc,MA-L
C8F650,Canon Inc,MA-L
586330,Canon Inc,MA-L
00086F,Canon Inc,MA-L
0004EA,HP Enterprise,MA-L
001083,HP Enterprise,MA-L
001279,HP Enterprise,MA-L
0017A4,HP Enterprise,MA-L
0018B9,HP Enterprise,MA-L
0019BB,HP Enterprise,MA-L
001A4B,HP Enterprise,MA-L
001CC4,HP Enterprise,MA-L
001E0B,HP Enterprise,MA-L
001F29,HP Enterprise,MA-L
002264,HP Enterprise,MA-L
003048,Supermicro Computer,MA-L
00259C,LG Electronics,MA-L
001C62,LG Electronics,MA-L
001E75,LG Electronics,MA-L
001F6B,LG Electronics,MA-L
002005,LG Electronics,MA-L
001E9A,LG Electronics,MA-L
009AD2,Aruba Networks,MA-L
001A1E,Aruba Networks,MA-L
0024B0,Aruba Networks,MA-L
003A98,Aruba Networks,MA-L
24DEC6,Aruba Networks,MA-L
186472,Aruba Networks,MA-L
944452,Aruba Networks,MA-L
000D67,Aruba Networks,MA-L
D8C7C8,Aruba Networks,MA-L
000C42,Routerboard / Mikrotik,MA-L
2CC81B,Mikrotik,MA-L
4C5E0C,Mikrotik,MA-L
6C3B6B,Mikrotik,MA-L
B869F4,Mikrotik,MA-L
C4AD34,Mikrotik,MA-L
CC2DE0,Mikrotik,MA-L
D4CA6D,Mikrotik,MA-L
E48D8C,Mikrotik,MA-L
74D02B,ASUSTek Computer,MA-L
1C872C,ASUSTek Computer,MA-L
50465D,ASUSTek Computer,MA-L
AC220B,ASUSTek Computer,MA-L
E03F49,ASUSTek Computer,MA-L
B06EBF,ASUSTek Computer,MA-L
F832E4,ASUSTek Computer,MA-L
04D3B0,ASUSTek Computer,MA-L
000732,AAEON Technology,MA-L
001A73,Espressif Inc (ESP32),MA-L
246F28,Espressif Inc (ESP32),MA-L
3C71BF,Espressif Inc (ESP32),MA-L
7CDFA1,Espressif Inc (ESP32),MA-L
84F703,Espressif Inc (ESP32),MA-L
A020A6,Espressif Inc (ESP32),MA-L
A483E7,Espressif Inc (ESP32),MA-L
C44F33,Espressif Inc (ESP32),MA-L
D8A01D,Espressif Inc (ESP32),MA-L
E8DB84,Espressif Inc (ESP32),MA-L
EC62608,Espressif Inc (ESP32),MA-L
F4CFA2,Espressif Inc (ESP32),MA-L
B827EB,Raspberry Pi Foundation,MA-L
DCA632,Raspberry Pi Trading,MA-L
E45F01,Raspberry Pi Trading,MA-L
28CDC1,Raspberry Pi Trading,MA-L
D83ADD,Raspberry Pi Trading,MA-L
0013EF,Polycom,MA-L
006B9E,Vizio,MA-L
007EBD,Avaya,MA-L
000AB8,Avaya,MA-L
00131A,Avaya,MA-L
0017F4,Avaya,MA-L
001BA4,Avaya,MA-L
001E69,Avaya,MA-L
047D7B,Avaya,MA-L
00A2EE,Ekinops,MA-L
08C58C,AXIS Communications,MA-L
00408C,AXIS Communications,MA-L
ACCC8E,AXIS Communications,MA-L
B8A44F,AXIS Communications,MA-L
E8BC3E,AXIS Communications,MA-L
00E064,AXIS Communications,MA-L
BCE59F,AXIS Communications,MA-L
001BD3,AXIS Communications,MA-L
000CCE,Zyxel Communications,MA-L
E4188B,Zyxel Communications,MA-L
5043B0,Zyxel Communications,MA-L
001E12,Netgear Inc,MA-L
2CB05D,Netgear Inc,MA-L
3894ED,Netgear Inc,MA-L
28C68E,Netgear Inc,MA-L
9C3DCF,Netgear Inc,MA-L
844FF9,Netgear Inc,MA-L
0020CA,D-Link Corporation,MA-L
001B11,D-Link Corporation,MA-L
001CF0,D-Link Corporation,MA-L
00229B,D-Link Corporation,MA-L
002644,D-Link Corporation,MA-L
2C4D54,D-Link Corporation,MA-L
C8BE19,D-Link Corporation,MA-L
000DEE,TP-Link Technologies,MA-L
1027F5,TP-Link Technologies,MA-L
18D6C7,TP-Link Technologies,MA-L
1C61B4,TP-Link Technologies,MA-L
50C7BF,TP-Link Technologies,MA-L
54AF97,TP-Link Technologies,MA-L
6C5AB0,TP-Link Technologies,MA-L
902B34,TP-Link Technologies,MA-L
98DED0,TP-Link Technologies,MA-L
A0F3C1,TP-Link Technologies,MA-L
C46E1F,TP-Link Technologies,MA-L
F0A731,TP-Link Technologies,MA-L
FCE33C,TP-Link Technologies,MA-L
DC9FDB,Ubiquiti Networks,MA-L
24A43C,Ubiquiti Networks,MA-L
44D9E7,Ubiquiti Networks,MA-L
68725C,Ubiquiti Networks,MA-L
74831E,Ubiquiti Networks,MA-L
E063DA,Ubiquiti Networks,MA-L
FC3F7C,Ubiquiti Networks,MA-L
04181B,Ubiquiti Networks,MA-L
245A4C,Ubiquiti Networks,MA-L
000C29,VMware Inc,MA-L
000569,VMware Inc,MA-L
001C14,VMware Inc,MA-L
005056,VMware Inc,MA-L
080027,Oracle VirtualBox,MA-L
525400,QEMU/KVM (virtual),MA-L
525401,QEMU/KVM (virtual),MA-L
0003FF,Microsoft Hyper-V (virtual),MA-L
00155D,Microsoft Hyper-V (virtual),MA-L
001DD8,Microsoft Hyper-V (virtual),MA-L
001006,Nokia,MA-L
001017,Nokia,MA-L
C49FE3,Fitbit Inc,MA-L
F8BBBF,Fitbit Inc,MA-L
F08413,Fitbit Inc,MA-L
F0272D,Fitbit Inc,MA-L
E8BEFD,Fitbit Inc,MA-L
C0C1C0,Garmin,MA-L
040E3C,Garmin,MA-L
C03FD5,Sonos Inc,MA-L
347E5C,Sonos Inc,MA-L
000E58,Sonos Inc,MA-L
949F3E,Sonos Inc,MA-L
5CAAFD,Sonos Inc,MA-L
006037,NEC Corporation,MA-L
000040,Inner Range,MA-L
0024E8,Dell Inc,MA-L
0022192,Dell Inc,MA-L
B083FE,Dell Inc,MA-L
F04DA2,Dell Inc,MA-L
001372,Dell Inc,MA-L
00188B,Dell Inc,MA-L
001E4F,Dell Inc,MA-L
0021702,Dell Inc,MA-L
0021AA,Dell Inc,MA-L
002219,Dell Inc,MA-L
00247E,Dell Inc,MA-L
0025642,Dell Inc,MA-L
00268F,Dell Inc,MA-L
00137,Dell Inc,MA-L
206626,Dell Inc,MA-L
248A07,Dell Inc,MA-L
2C600C,Dell Inc,MA-L
388A9C,Dell Inc,MA-L
40A8F0,Dell Inc,MA-L
54BF64,Dell Inc,MA-L
58800F,Dell Inc,MA-L
64006A,Dell Inc,MA-L
842B2B,Dell Inc,MA-L
902B342,Dell Inc,MA-L
A41F72,Dell Inc,MA-L
B06EBF,Dell Inc,MA-L
B8AC6F,Dell Inc,MA-L
D481D7,Dell Inc,MA-L
E4F004,Dell Inc,MA-L
F01FAF,Dell Inc,MA-L
F04DA2,Dell Inc,MA-L
F4E9D4,Dell Inc,MA-L
000F66,Cisco-Linksys,MA-L
001217,Cisco-Linksys,MA-L
001310,Cisco-Linksys,MA-L
001641,Cisco-Linksys,MA-L
001839,Cisco-Linksys,MA-L
001A70,Cisco-Linksys,MA-L
001C10,Cisco-Linksys,MA-L
001D7E,Cisco-Linksys,MA-L
001EE5,Cisco-Linksys,MA-L
002129,Cisco-Linksys,MA-L
002369,Cisco-Linksys,MA-L
00254B,Cisco-Linksys,MA-L
0026B6,Cisco-Linksys,MA-L
005056,VMware Inc,MA-L
